Omitted_Symbol,Remaining_Entry_Count,Setup_Mean_Return,Setup_Return_PF,Practical_Mean_R,Practical_R_PF
EXIDEIND,1460,0.001671366203281712,1.0659259973104627,0.004313671983591037,1.0084072474648398
FACT,1461,0.0017487870432396251,1.0692379251785746,0.003387872150614137,1.0065955365004802
FEDERALBNK,1463,0.001590131324523538,1.062686103661178,0.0014701738641223108,1.002856558985822
FINCABLES,1462,0.0016116961462369044,1.0636867120148494,0.0032588016078902793,1.0063470360556912
FINPIPE,1464,0.0016023284778767842,1.0632113057971841,0.0016122006913800878,1.0031342753606285
FIVESTAR,1464,0.0016849386444726907,1.0666875793684465,0.0020783030785283857,1.0040440883986483
FLUOROCHEM,1462,0.0017055486460175828,1.0674598846811112,0.0034491352304825995,1.0067202323767919
FORCEMOT,1463,0.0017062864546656033,1.0675403183316066,0.0027222846513538135,1.0053001910551014
FORTIS,1459,0.001420682089839316,1.0558962083403225,-0.002266813975011208,0.9956041602099427
FSL,1460,0.0015321971804745662,1.0605396837404948,0.003550117842892657,1.0069115426108053
GABRIEL,1464,0.0015095341860031288,1.0595284941813132,9.585183642530623e-05,1.0001862667522825
GAIL,1462,0.0015631109050848505,1.061653153217648,0.0012314983345519774,1.0023931852561252
GESHIP,1459,0.0015726562694765847,1.0618839758052756,0.001431056070959656,1.0027770189110412
GICRE,1461,0.0017738103335412283,1.0702982925731617,0.0032129564597226453,1.0062528799634778
GILLETTE,1463,0.0016304890453300153,1.0643469519928148,0.002209387301890871,1.0042973069615853
GLAND,1464,0.0016174342975897424,1.0638452718093874,0.0020783030785283857,1.0040440883986483
GLAXO,1462,0.00166592695428211,1.0657896173630779,0.002938841576009187,1.0057202981091602
GLENMARK,1460,0.0015714830633051771,1.0619273563734941,0.002052076554482731,1.0039905165036074
GMDCLTD,1463,0.0015775198337615057,1.0622477592062143,0.0007011222185109342,1.0013625767979073
GMRAIRPORT,1463,0.0016295848049088586,1.0643089714004017,0.00234801198519318,1.004568166729612
GODFRYPHLP,1460,0.001539318766355728,1.0607704723636397,0.0004597616238976978,1.0008935851018916
GODIGIT,1464,0.0016087315881610405,1.0634799413538505,0.0017215442235443924,1.00334756145615
GODREJAGRO,1464,0.0016128835576881913,1.0636542053008051,0.00183677200275206,1.003572423568552
GODREJCP,1464,0.0016165346495426978,1.0638074939123117,0.0020783030785283857,1.0040440883986483
GODREJIND,1461,0.0016576779791595924,1.0655411249718054,0.002163209312413206,1.0042118748253308
GODREJPROP,1456,0.0016312829189367266,1.0642049706192485,0.0018074094522393135,1.003505671250294
GPIL,1460,0.0016678058941399637,1.0658786209841784,0.002973780653243643,1.0057908876829122
GPPL,1463,0.0015304446958406084,1.0604694026786632,0.0005115385020918308,1.0009947027899606
GRANULES,1459,0.0015683747802146836,1.0619253307603673,0.004757710141593226,1.009274283727751
GRAPHITE,1461,0.0016463902362522855,1.064933553169274,0.0021354470348580934,1.0041477608428244
GRASIM,1462,0.0016281248750105914,1.064200921646164,0.0025125846366325245,1.0048865574409789
GRINDWELL,1464,0.0016269429346687323,1.0642447212972526,0.002078303078528391,1.0040440883986486
GRSE,1462,0.0017533589018199668,1.0694823270886664,0.003095628050619376,1.0060273139996547
GSFC,1464,0.0015931472308633918,1.062826353250759,0.0013980377498686754,1.0027167905722032
GVT&D,1456,0.001761323212770712,1.0696734649354729,0.004702592376483246,1.0091584109846878
HAL,1463,0.0015760325721293164,1.0621216706638903,0.0006535443304052508,1.0012693780585353
HCLTECH,1463,0.001620256539765127,1.0639507599166478,0.0016498241716696716,1.003208135262142
HDFCAMC,1461,0.0014327151665064653,1.056435945136926,-0.005111656177001302,0.9900753889615659
HDFCBANK,1462,0.0016159245665689334,1.0636913365305949,0.0027179048216039474,1.0052879824686998
HDFCLIFE,1464,0.0016103167474332536,1.0635464659584015,0.002078303078528391,1.0040440883986486
HEG,1460,0.0016986015850855862,1.0670824270099264,0.002847321378550423,1.0055348633973922
HEROMOTOCO,1461,0.001353053830085652,1.0532901416124525,-0.008852799184170047,0.9828061211141003
HFCL,1458,0.0017056495642387912,1.06744786800758,0.002482352914364518,1.0048235820968852
HINDALCO,1457,0.0013982699877786106,1.055021819147801,-0.006710628751709411,0.9869640437706065
HINDCOPPER,1457,0.0015284950940633525,1.0604358533281593,-4.209734864034625e-05,0.9999180719006335
HINDPETRO,1458,0.0016956008139925682,1.0671089261103774,0.0036358761219076755,1.0070873598842065
HINDUNILVR,1463,0.0016300488917001916,1.064328463987417,0.002763250654111803,1.0053803795359024
HINDZINC,1464,0.001644999019284548,1.0650040677649306,0.002078303078528391,1.0040440883986486
HOMEFIRST,1464,0.0015460331744851395,1.0609678321198783,0.0006482195882721001,1.0012596707791543
HONASA,1462,0.0014242822585758478,1.056155320958265,0.0004795112144386376,1.0009326617097831
HONAUT,1464,0.0016013845964470313,1.0631717177510829,0.0015683679872520331,1.003048800505689
HSCL,1460,0.0017802942916749522,1.070522161112827,0.0038020134112923478,1.0074026985383084
HUDCO,1461,0.001348233958279164,1.0532945399208642,-0.004232041668149625,0.9917734036175005
ICICIBANK,1463,0.0016351368875507353,1.064542216972456,0.0027632506541117982,1.0053803795359024
ICICIPRULI,1463,0.00159399484312328,1.062843854459195,0.001816003161951471,1.0035312755626085
IDBI,1463,0.0016481374119368015,1.0650887752058926,0.0023920821262046863,1.0046543063051359
IDEA,1460,0.0017591783214464904,1.0696269900255,0.0034128895837436824,1.0066399861016972
IDFCFIRSTB,1462,0.0016087400442302536,1.0634027765007883,0.002692168265659599,1.005237646904974
IEX,1463,0.0017027336794289073,1.0673902109295037,0.002358621111102383,1.0045889019958871
IIFL,1462,0.0015816581256963603,1.0623607308674408,0.001238372200231117,1.0024072110773723
IKS,1464,0.001622546469671677,1.0640599923890441,0.002078303078528391,1.0040440883986486
INDHOTEL,1462,0.001635951961922749,1.0646390523159603,0.002021884927462238,1.0039389475104818
INDIACEM,1460,0.0015824527862259448,1.0623507482997456,0.001057049344833067,1.0020521863243463
INDIANB,1458,0.001678696439901655,1.0661416476404877,0.002991566890001131,1.005808308479063
INDIGO,1460,0.001471819239657973,1.0580065993724364,-0.0011505022842651614,0.9977642294412132
INDUSINDBK,1462,0.001636552741421281,1.0645547064530512,0.002471992671448419,1.0048072333437
