Signal_ID,Symbol,Signal_Date,Cancellation_Reason
UPPER|UNITDSPR|2023-09-15,UNITDSPR,2023-09-15,SAME_SYMBOL_LOCKOUT
UPPER|BERGEPAINT|2023-09-18,BERGEPAINT,2023-09-18,SAME_SYMBOL_LOCKOUT
UPPER|GRASIM|2023-09-18,GRASIM,2023-09-18,SAME_SYMBOL_LOCKOUT
UPPER|INDUSTOWER|2023-09-18,INDUSTOWER,2023-09-18,SAME_SYMBOL_LOCKOUT
UPPER|KARURVYSYA|2023-09-18,KARURVYSYA,2023-09-18,SAME_SYMBOL_LOCKOUT
UPPER|MARUTI|2023-09-18,MARUTI,2023-09-18,SAME_SYMBOL_LOCKOUT
UPPER|PNCINFRA|2023-09-18,PNCINFRA,2023-09-18,SAME_SYMBOL_LOCKOUT
UPPER|SBILIFE|2023-09-18,SBILIFE,2023-09-18,SAME_SYMBOL_LOCKOUT
UPPER|TCS|2023-09-18,TCS,2023-09-18,SAME_SYMBOL_LOCKOUT
UPPER|BERGEPAINT|2023-09-20,BERGEPAINT,2023-09-20,SAME_SYMBOL_LOCKOUT
UPPER|EASEMYTRIP|2023-09-20,EASEMYTRIP,2023-09-20,SAME_SYMBOL_LOCKOUT
UPPER|FINEORG|2023-09-20,FINEORG,2023-09-20,SAME_SYMBOL_LOCKOUT
UPPER|INDUSINDBK|2023-09-20,INDUSINDBK,2023-09-20,SAME_SYMBOL_LOCKOUT
UPPER|TCS|2023-09-20,TCS,2023-09-20,SAME_SYMBOL_LOCKOUT
UPPER|TRITURBINE|2023-09-20,TRITURBINE,2023-09-20,SAME_SYMBOL_LOCKOUT
UPPER|TVSMOTOR|2023-09-20,TVSMOTOR,2023-09-20,SAME_SYMBOL_LOCKOUT
UPPER|BANDHANBNK|2023-09-21,BANDHANBNK,2023-09-21,SAME_SYMBOL_LOCKOUT
UPPER|GRANULES|2023-09-22,GRANULES,2023-09-22,SAME_SYMBOL_LOCKOUT
UPPER|TCS|2023-09-22,TCS,2023-09-22,SAME_SYMBOL_LOCKOUT
UPPER|BALKRISIND|2023-09-25,BALKRISIND,2023-09-25,SAME_SYMBOL_LOCKOUT
UPPER|BANDHANBNK|2023-09-25,BANDHANBNK,2023-09-25,SAME_SYMBOL_LOCKOUT
UPPER|GRANULES|2023-09-25,GRANULES,2023-09-25,SAME_SYMBOL_LOCKOUT
UPPER|MANYAVAR|2023-09-25,MANYAVAR,2023-09-25,SAME_SYMBOL_LOCKOUT
UPPER|MARUTI|2023-09-25,MARUTI,2023-09-25,SAME_SYMBOL_LOCKOUT
UPPER|RENUKA|2023-09-25,RENUKA,2023-09-25,SAME_SYMBOL_LOCKOUT
UPPER|GESHIP|2023-09-26,GESHIP,2023-09-26,SAME_SYMBOL_LOCKOUT
UPPER|MCX|2023-09-26,MCX,2023-09-26,SAME_SYMBOL_LOCKOUT
UPPER|TATACONSUM|2023-09-26,TATACONSUM,2023-09-26,SAME_SYMBOL_LOCKOUT
UPPER|BANDHANBNK|2023-09-27,BANDHANBNK,2023-09-27,SAME_SYMBOL_LOCKOUT
UPPER|GESHIP|2023-09-27,GESHIP,2023-09-27,SAME_SYMBOL_LOCKOUT
UPPER|LODHA|2023-09-27,LODHA,2023-09-27,SAME_SYMBOL_LOCKOUT
UPPER|NUVOCO|2023-09-27,NUVOCO,2023-09-27,SAME_SYMBOL_LOCKOUT
UPPER|BALRAMCHIN|2023-09-28,BALRAMCHIN,2023-09-28,SAME_SYMBOL_LOCKOUT
UPPER|BANDHANBNK|2023-09-28,BANDHANBNK,2023-09-28,SAME_SYMBOL_LOCKOUT
UPPER|CHOLAFIN|2023-09-28,CHOLAFIN,2023-09-28,SAME_SYMBOL_LOCKOUT
UPPER|TRITURBINE|2023-09-28,TRITURBINE,2023-09-28,SAME_SYMBOL_LOCKOUT
UPPER|COHANCE|2023-09-29,COHANCE,2023-09-29,SAME_SYMBOL_LOCKOUT
UPPER|APTUS|2023-10-03,APTUS,2023-10-03,SAME_SYMBOL_LOCKOUT
UPPER|CANBK|2023-10-03,CANBK,2023-10-03,SAME_SYMBOL_LOCKOUT
UPPER|GRANULES|2023-10-04,GRANULES,2023-10-04,SAME_SYMBOL_LOCKOUT
UPPER|DMART|2023-10-05,DMART,2023-10-05,SAME_SYMBOL_LOCKOUT
UPPER|GRANULES|2023-10-05,GRANULES,2023-10-05,SAME_SYMBOL_LOCKOUT
UPPER|PCBL|2023-10-05,PCBL,2023-10-05,SAME_SYMBOL_LOCKOUT
UPPER|MEDANTA|2023-10-06,MEDANTA,2023-10-06,SAME_SYMBOL_LOCKOUT
UPPER|SOBHA|2023-10-06,SOBHA,2023-10-06,SAME_SYMBOL_LOCKOUT
UPPER|TCS|2023-10-06,TCS,2023-10-06,SAME_SYMBOL_LOCKOUT
UPPER|AAVAS|2023-10-09,AAVAS,2023-10-09,SAME_SYMBOL_LOCKOUT
UPPER|ANGELONE|2023-10-09,ANGELONE,2023-10-09,SAME_SYMBOL_LOCKOUT
UPPER|SOBHA|2023-10-09,SOBHA,2023-10-09,SAME_SYMBOL_LOCKOUT
UPPER|PCBL|2023-10-10,PCBL,2023-10-10,SAME_SYMBOL_LOCKOUT
UPPER|TVSMOTOR|2023-10-10,TVSMOTOR,2023-10-10,SAME_SYMBOL_LOCKOUT
UPPER|ANGELONE|2023-10-11,ANGELONE,2023-10-11,SAME_SYMBOL_LOCKOUT
UPPER|APTUS|2023-10-11,APTUS,2023-10-11,SAME_SYMBOL_LOCKOUT
UPPER|BOSCHLTD|2023-10-11,BOSCHLTD,2023-10-11,SAME_SYMBOL_LOCKOUT
UPPER|ABREL|2023-10-12,ABREL,2023-10-12,SAME_SYMBOL_LOCKOUT
UPPER|ANGELONE|2023-10-12,ANGELONE,2023-10-12,SAME_SYMBOL_LOCKOUT
UPPER|BHARTIARTL|2023-10-12,BHARTIARTL,2023-10-12,SAME_SYMBOL_LOCKOUT
UPPER|INDUSTOWER|2023-10-12,INDUSTOWER,2023-10-12,SAME_SYMBOL_LOCKOUT
UPPER|LALPATHLAB|2023-10-12,LALPATHLAB,2023-10-12,SAME_SYMBOL_LOCKOUT
UPPER|MEDANTA|2023-10-12,MEDANTA,2023-10-12,SAME_SYMBOL_LOCKOUT
UPPER|ANGELONE|2023-10-13,ANGELONE,2023-10-13,SAME_SYMBOL_LOCKOUT
UPPER|BOSCHLTD|2023-10-13,BOSCHLTD,2023-10-13,SAME_SYMBOL_LOCKOUT
UPPER|CHAMBLFERT|2023-10-13,CHAMBLFERT,2023-10-13,SAME_SYMBOL_LOCKOUT
UPPER|DLF|2023-10-13,DLF,2023-10-13,SAME_SYMBOL_LOCKOUT
UPPER|DMART|2023-10-13,DMART,2023-10-13,SAME_SYMBOL_LOCKOUT
UPPER|GAIL|2023-10-13,GAIL,2023-10-13,SAME_SYMBOL_LOCKOUT
UPPER|LALPATHLAB|2023-10-13,LALPATHLAB,2023-10-13,SAME_SYMBOL_LOCKOUT
UPPER|RAMCOCEM|2023-10-13,RAMCOCEM,2023-10-13,SAME_SYMBOL_LOCKOUT
UPPER|BHARTIARTL|2023-10-16,BHARTIARTL,2023-10-16,SAME_SYMBOL_LOCKOUT
UPPER|FEDERALBNK|2023-10-16,FEDERALBNK,2023-10-16,SAME_SYMBOL_LOCKOUT
UPPER|MRPL|2023-10-16,MRPL,2023-10-16,SAME_SYMBOL_LOCKOUT
UPPER|RAMCOCEM|2023-10-16,RAMCOCEM,2023-10-16,SAME_SYMBOL_LOCKOUT
UPPER|BALKRISIND|2023-10-17,BALKRISIND,2023-10-17,SAME_SYMBOL_LOCKOUT
