Symbol,Date,Base_ID,Seed_Date,Base_Age,Event,Original_Pivot,Active_Pivot,New_Pivot,Base_Low,Base_Depth_ATR,High,Low,Close
AMBUJACEM,2024-01-29 00:00:00,AMBUJACEM-2024-01-29,2024-01-29 00:00:00,0,SEEDED,572.2201867106238,572.2201867106238,,inf,-inf,572.2201867106238,556.30592591802,567.4755249023438
AMBUJACEM,2024-01-30 00:00:00,AMBUJACEM-2024-01-29,2024-01-29 00:00:00,1,FAILED_PROBE,572.2201867106238,572.2201867106238,577.2118772272835,561.495321446569,0.6021665416356345,577.2118772272835,561.495321446569,564.2630004882812
AMBUJACEM,2024-01-31 00:00:00,AMBUJACEM-2024-01-29,2024-01-29 00:00:00,2,FAILED_PROBE,572.2201867106238,577.2118772272835,579.6829975056461,540.6881968375662,2.050686676856791,579.6829975056461,540.6881968375662,553.834716796875
AMBUJACEM,2024-02-12 00:00:00,AMBUJACEM-2024-01-29,2024-01-29 00:00:00,10,FAILED_PROBE,572.2201867106238,579.6829975056461,580.4243417301058,540.6881968375662,2.18943209839365,580.4243417301058,553.7853043157651,556.997802734375
AMBUJACEM,2024-02-16 00:00:00,AMBUJACEM-2024-01-29,2024-01-29 00:00:00,14,FAILED_PROBE,572.2201867106238,580.4243417301058,583.8345792068026,540.6881968375662,2.2310561819428045,583.8345792068026,566.4376274587786,578.3485717773438
AMBUJACEM,2024-02-19 00:00:00,AMBUJACEM-2024-01-29,2024-01-29 00:00:00,15,FAILED_PROBE,572.2201867106238,583.8345792068026,587.1458834741399,540.6881968375662,2.4225300006751778,587.1458834741399,575.1855284986839,578.1014404296875
AMBUJACEM,2024-02-21 00:00:00,AMBUJACEM-2024-01-29,2024-01-29 00:00:00,17,FAILED_PROBE,572.2201867106238,587.1458834741399,589.8147844848891,540.6881968375662,2.6084490392712816,589.8147844848891,576.519969856233,581.0174560546875
AMBUJACEM,2024-02-23 00:00:00,AMBUJACEM-2024-01-29,2024-01-29 00:00:00,19,BREAKOUT_CANDIDATE,572.2201867106238,589.8147844848891,,540.6881968375662,2.758299210069893,601.6762659035853,580.4737638672894,595.9926147460938
AMBUJACEM,2024-02-23 00:00:00,AMBUJACEM-2024-02-23,2024-02-23 00:00:00,0,SEEDED,601.6762659035853,601.6762659035853,,inf,-inf,601.6762659035853,580.4737638672894,595.9926147460938
AMBUJACEM,2024-02-26 00:00:00,AMBUJACEM-2024-02-23,2024-02-23 00:00:00,1,FAILED_PROBE,601.6762659035853,601.6762659035853,608.1506212277995,595.6465656309545,0.3668394719102354,608.1506212277995,595.6465656309545,601.5773315429688
AMBUJACEM,2024-03-01 00:00:00,AMBUJACEM-2024-02-23,2024-02-23 00:00:00,5,TOO_SHORT_BREAKOUT,601.6762659035853,608.1506212277995,,577.2613660471281,1.8792639013272072,612.845902629552,599.9959078969969,610.4735717773438
AMBUJACEM,2024-03-01 00:00:00,AMBUJACEM-2024-03-01,2024-03-01 00:00:00,0,SEEDED,612.845902629552,612.845902629552,,inf,-inf,612.845902629552,599.9959078969969,610.4735717773438
AMBUJACEM,2024-03-04 00:00:00,AMBUJACEM-2024-03-01,2024-03-01 00:00:00,1,FAILED_PROBE,612.845902629552,612.845902629552,614.5757056451015,605.4818512115191,0.44023964875141774,614.5757056451015,605.4818512115191,610.02880859375
AMBUJACEM,2024-03-05 00:00:00,AMBUJACEM-2024-03-01,2024-03-01 00:00:00,2,FAILED_PROBE,612.845902629552,614.5757056451015,617.7882246245158,603.7520640948705,0.6470617712712503,617.7882246245158,603.7520640948705,606.0255126953125
AMBUJACEM,2024-03-13 00:00:00,AMBUJACEM-2024-03-01,2024-03-01 00:00:00,7,DEPTH_INVALIDATED,612.845902629552,617.7882246245158,,544.4443665659209,4.384661713621604,583.5379913459678,544.4443665659209,552.796875
AMBUJACEM,2024-04-01 00:00:00,AMBUJACEM-2024-04-01,2024-04-01 00:00:00,0,SEEDED,619.4191508660825,619.4191508660825,,inf,-inf,619.4191508660825,606.2231594423193,614.3285522460938
AMBUJACEM,2024-04-02 00:00:00,AMBUJACEM-2024-04-01,2024-04-01 00:00:00,1,TOO_SHORT_BREAKOUT,619.4191508660825,619.4191508660825,,612.4998944362507,0.3985576329990305,629.7484909497388,612.4998944362507,627.376220703125
AMBUJACEM,2024-04-02 00:00:00,AMBUJACEM-2024-04-02,2024-04-02 00:00:00,0,SEEDED,629.7484909497388,629.7484909497388,,inf,-inf,629.7484909497388,612.4998944362507,627.376220703125
AMBUJACEM,2024-04-03 00:00:00,AMBUJACEM-2024-04-02,2024-04-02 00:00:00,1,FAILED_PROBE,629.7484909497388,629.7484909497388,632.9115945046473,619.2708441615181,0.6038038711061752,632.9115945046473,619.2708441615181,627.6233520507812
AMBUJACEM,2024-04-04 00:00:00,AMBUJACEM-2024-04-02,2024-04-02 00:00:00,2,FAILED_PROBE,629.7484909497388,632.9115945046473,633.4058371671239,616.4042948156605,0.9512795816829225,633.4058371671239,616.4042948156605,617.4916381835938
AMBUJACEM,2024-04-24 00:00:00,AMBUJACEM-2024-04-02,2024-04-02 00:00:00,14,BREAKOUT_CANDIDATE,629.7484909497388,633.4058371671239,,586.6022526554361,2.697188221841294,639.3366534927121,627.7716460847937,637.0137939453125
AMBUJACEM,2024-04-24 00:00:00,AMBUJACEM-2024-04-24,2024-04-24 00:00:00,0,SEEDED,639.3366534927121,639.3366534927121,,inf,-inf,639.3366534927121,627.7716460847937,637.0137939453125
AMBUJACEM,2024-04-25 00:00:00,AMBUJACEM-2024-04-24,2024-04-24 00:00:00,1,FAILED_PROBE,639.3366534927121,639.3366534927121,641.5112659037056,621.9397478236667,1.0195159910186584,641.5112659037056,621.9397478236667,630.984130859375
AMBUJACEM,2024-05-09 00:00:00,AMBUJACEM-2024-04-24,2024-04-24 00:00:00,10,DEPTH_INVALIDATED,639.3366534927121,641.5112659037056,,565.399769229077,4.460384475051603,589.2711297720622,565.399769229077,567.6732177734375
AMBUJACEM,2024-05-24 00:00:00,AMBUJACEM-2024-05-24,2024-05-24 00:00:00,0,SEEDED,649.3695685116877,649.3695685116877,,inf,-inf,649.3695685116877,620.1110820950494,627.9693603515625
